name,accession_lat,accession_lng,terraclimate_lat,terraclimate_lng,spring_soil_moisture,fall_soil_moisture
ISU_024,44.783232,-73.394747,44.7708,-73.3958,0.22807565,0.3023879
ISU_025,39.660915,-105.100863,39.6458,-105.1042,0.027356574,0.016812865
ISU_026,40.211798,-83.039424,40.2292,-83.0208,0.30998904,0.287768
ISU_027,40.89192,-73.941562,40.8958,-73.9375,0.35579178,0.42007795
ISU_028,40.620468,-74.558307,40.6042,-74.5625,0.31014538,0.4420078
ISU_029,43.270812,-96.884293,43.2708,-96.8958,0.36110675,0.31310916
ISU_030,42.562889,-89.469943,42.5625,-89.4792,0.3425043,0.40472707
ISU_031,42.562889,-89.469943,42.5625,-89.4792,0.3425043,0.40472707
ISU_032,40.575552,-89.061972,40.5625,-89.0625,0.52290136,0.47295317
ISU_033,39.937912,-105.12728,39.9375,-105.1458,0.03767391,0.021929825
ISU_034,39.945137,-105.118911,39.9375,-105.1042,0.032358915,0.019980507
ISU_035,39.660295,-105.315558,39.6458,-105.3125,0.07956855,0.035087716
ISU_036,38.070728,-104.976417,38.0625,-104.9792,0.0018758791,0.0012183237
ISU_037,44.269503,-96.7768,44.2708,-96.7708,0.27497262,0.29922023
ISU_038,41.427505,-87.795105,41.4375,-87.8125,0.2740347,0.30945417
ISU_039,40.101408,-88.226394,40.1042,-88.2292,0.45005473,0.4456628
ISU_040,40.101385,-88.227027,40.1042,-88.2292,0.45005473,0.4456628
ISU_041,41.23878,-87.644689,41.2292,-87.6458,0.33562607,0.37402534
ISU_042,42.833092,-108.723213,42.8125,-108.7292,0.058152262,0.022660818
ISU_043,48.102544,-114.087936,48.1042,-114.1042,0.61435044,0.28630605
ISU_044,47.02881,-114.299459,47.0208,-114.3125,0.1571049,0.062378168
ISU_045,47.069756,-114.365792,47.0625,-114.3542,0.16664062,0.06578947
ISU_046,38.891032,-92.293691,38.8958,-92.3125,0.47365952,0.43469784
ISU_047,41.727537,-72.201363,41.7292,-72.1875,0.4706894,0.59234893
ISU_048,40.457825,-79.985205,40.4375,-79.9792,0.33859622,0.32261208
ISU_049,42.481743,-71.43785,42.4792,-71.4375,0.40612787,0.49756333
ISU_050,42.460448,-71.44645,42.4792,-71.4375,0.40612787,0.49756333
ISU_051,39.817149,-91.530344,39.8125,-91.5208,0.45771453,0.46954188
ISU_052,39.641384,-76.788282,39.6458,-76.7708,0.32984212,0.4086257
ISU_053,42.295939,-72.661727,42.3125,-72.6458,0.40409565,0.5419103
ISU_054,42.295939,-72.661727,42.3125,-72.6458,0.40409565,0.5419103
ISU_055,44.969193,-93.301906,44.9792,-93.3125,0.34156635,0.39181286
ISU_056,44.971512,-93.289341,44.9792,-93.2708,0.34875724,0.39571148
ISU_057,38.937303,-77.26622,38.9375,-77.2708,0.4456776,0.457846
ISU_058,39.275663,-77.033131,39.2708,-77.0208,0.38377365,0.44980502
ISU_059,41.371949,-74.557326,41.3542,-74.5625,0.46662498,0.6423001
ISU_060,37.170638,-93.328278,37.1875,-93.3125,0.7186181,0.7748537
ISU_061,35.884133,-106.28603,35.8958,-106.2708,0.039862435,0.021929825
ISU_062,40.1276635,-74.0581036,40.1458,-74.0625,0.347194,0.38450292
ISU_063,38.965899,-77.524599,38.9792,-77.5208,0.47115836,0.46783626
ISU_064,41.411329,-75.670782,41.3958,-75.6875,0.38392997,0.43177387
ISU_065,41.408256,-75.646907,41.3958,-75.6458,0.3897139,0.45857698
ISU_066,41.420834,-82.629717,41.3958,-82.6458,0.3273409,0.23464914
ISU_067,41.420745,-82.62998,41.3958,-82.6458,0.3273409,0.23464914
ISU_068,41.4206647,-82.630178,41.3958,-82.6458,0.3273409,0.23464914
ISU_071,41.710178,-90.347614,41.7292,-90.3542,0.41284972,0.4646686
ISU_072,39.246556,-76.821433,39.2292,-76.8125,0.4136314,0.49975628
ISU_073,38.974015,-75.79998,38.9792,-75.8125,0.3601688,0.38913256
ISU_074,39.97677,-75.210075,39.9792,-75.2292,0.27778646,0.34137425
ISU_075,37.689915,-89.502907,37.6875,-89.5208,0.6449898,0.5121832
ISU_076,38.23577,-79.574365,38.2292,-79.5625,0.45568234,0.51486355
ISU_077,37.7391,-80.7505,37.7292,-80.7708,0.46850085,0.581384
ISU_080,39.310096,-82.112,39.3125,-82.1042,0.57870877,0.62280697
ISU_082,39.77648,-94.969446,39.7708,-94.9792,0.3345318,0.44200775
ISU_083,38.855639,-92.436222,38.8542,-92.4375,0.46709394,0.43006817
ISU_084,36.033989,-79.04212,36.0208,-79.0625,0.5682351,0.63206625
ISU_085,36.195296,-97.132247,36.1875,-97.1458,0.17570736,0.15277779
ISU_086,34.75972,-87.999592,34.7708,-87.9792,0.59027666,0.60380113
ISU_087,33.900973,-118.003716,33.8958,-118.0208,0.1510083,0.08162769
ISU_088,35.747383,-79.175087,35.7292,-79.1875,0.48350787,0.5492203
ISU_089,31.839806,-85.922582,31.8542,-85.9375,0.5994997,0.5455653
ISU_093,42.280345,-87.854931,42.2708,-87.8542,0.3856495,0.37110135
ISU_094,41.698517,-90.345017,41.6875,-90.3542,0.41925898,0.47270954
ISU_095,39.626192,-105.356614,39.6458,-105.3542,0.0900422,0.03971735
ISU_096,46.934928,-116.985469,46.9375,-116.9792,1.0,0.45516568
ISU_097,41.314747,-106.615156,41.3125,-106.6042,0.12881038,0.043859646
ISU_098,40.165774,-76.203213,40.1458,-76.1875,0.2691887,0.32139373
ISU_099,40.788353,-75.54409,40.7708,-75.5625,0.34000313,0.43884012
ISU_100,39.996283,-75.344963,39.9792,-75.3542,0.27888072,0.35526317
ISU_101,39.996283,-75.344963,39.9792,-75.3542,0.27888072,0.35526317
ISU_102,44.1384,-121.4091,44.1458,-121.3958,0.058621228,0.036549702
ISU_103,42.6622,-118.9879,42.6458,-118.9792,0.058933873,0.027290447
